year,country,flow,intra_extra_EU,value_eur,volume_kg
2021,Italy,Export,Intra EU,144122874.0,22830076.0
2021,Italy,Import,Extra EU,405139656.0,75755400.0
2021,Italy,Import,Intra EU,256704635.0,45225833.0
2021,Latvia,Export,Extra EU,611511.0,102396.0
2021,Latvia,Export,Intra EU,2647982.0,413185.0
2021,Latvia,Import,Extra EU,960105.0,193574.0
2021,Latvia,Import,Intra EU,1979081.0,329189.0
2021,Lithuania,Export,Extra EU,11774.0,1518.0
2021,Lithuania,Export,Intra EU,682132.0,155195.0
2021,Lithuania,Import,Extra EU,591431.0,129743.0
2021,Lithuania,Import,Intra EU,3710785.0,680901.0
2021,Luxembourg,Export,Intra EU,96310.0,11806.0
2021,Luxembourg,Import,Intra EU,5899544.0,742306.0
2021,Malta,Export,Extra EU,950.0,258.0
2021,Malta,Import,Extra EU,4550068.0,1165388.0
2021,Malta,Import,Intra EU,4548581.0,572544.0
2021,Netherlands,Export,Extra EU,33079052.0,7757710.0
2021,Netherlands,Export,Intra EU,333722206.0,67455648.0
2021,Netherlands,Import,Extra EU,260725233.0,71353969.0
2021,Netherlands,Import,Intra EU,102258214.0,17341728.0
2021,Poland,Export,Extra EU,243862.0,40623.0
2021,Poland,Export,Intra EU,4900249.0,803506.0
2021,Poland,Import,Extra EU,15791232.0,4759556.0
2021,Poland,Import,Intra EU,30646483.0,6537958.0
2021,Portugal,Export,Extra EU,20433858.0,3889703.0
2021,Portugal,Export,Intra EU,66298437.0,14773198.0
2021,Portugal,Import,Extra EU,39666846.0,12883847.0
2021,Portugal,Import,Intra EU,62240754.0,12427694.0
2021,Romania,Export,Extra EU,279163.0,44497.0
2021,Romania,Export,Intra EU,204194.0,52150.0
2021,Romania,Import,Extra EU,4444682.0,1213292.0
2021,Romania,Import,Intra EU,28562437.0,5515422.0
2021,Slovakia,Export,Extra EU,229.0,24.0
2021,Slovakia,Export,Intra EU,2062526.0,378021.0
2021,Slovakia,Import,Extra EU,1597865.0,432700.0
2021,Slovakia,Import,Intra EU,13117890.0,2421647.0
2021,Slovenia,Export,Extra EU,498412.0,81938.0
2021,Slovenia,Export,Intra EU,1145323.0,258767.0
2021,Slovenia,Import,Extra EU,538561.0,159773.0
2021,Slovenia,Import,Intra EU,19714402.0,3360952.0
2021,Spain,Export,Extra EU,66115232.0,12163726.0
2021,Spain,Export,Intra EU,476531998.0,85960653.0
2021,Spain,Import,Extra EU,513308520.0,128276567.0
2021,Spain,Import,Intra EU,36896670.0,10188351.0
2021,Sweden,Export,Extra EU,21315.0,4887.0
2021,Sweden,Export,Intra EU,264752.0,50010.0
2021,Sweden,Import,Extra EU,14265882.0,3777236.0
2021,Sweden,Import,Intra EU,7564028.0,1528821.0
2022,Austria,Export,Extra EU,1314227.0,184231.0
2022,Austria,Export,Intra EU,42083042.0,8518626.0
2022,Austria,Import,Extra EU,2933996.0,669435.0
2022,Austria,Import,Intra EU,59775055.0,9760630.0
2022,Belgium,Export,Extra EU,510970.0,80165.0
2022,Belgium,Export,Intra EU,20119208.0,3852316.0
2022,Belgium,Import,Extra EU,37506095.0,8021729.0
2022,Belgium,Import,Intra EU,58711025.0,11159894.0
2022,Bulgaria,Export,Extra EU,569615.0,124793.0
2022,Bulgaria,Export,Intra EU,1108878.0,195601.0
2022,Bulgaria,Import,Extra EU,1608362.0,425432.0
2022,Bulgaria,Import,Intra EU,5545334.0,1268090.0
2022,Croatia,Export,Extra EU,2133009.0,301131.0
2022,Croatia,Export,Intra EU,1119443.0,156495.0
2022,Croatia,Import,Extra EU,1750100.0,402097.0
2022,Croatia,Import,Intra EU,18613780.0,3245698.0
2022,Cyprus,Import,Extra EU,5760289.0,1134066.0
2022,Cyprus,Import,Intra EU,3334400.0,760675.0
2022,Czechia,Export,Extra EU,228099.0,32447.0
2022,Czechia,Export,Intra EU,10961215.0,1805065.0
2022,Czechia,Import,Extra EU,7649548.0,1677017.0
2022,Czechia,Import,Intra EU,36969267.0,6349329.0
2022,Denmark,Export,Extra EU,880134.0,118865.0
2022,Denmark,Export,Intra EU,1725513.0,306059.0
2022,Denmark,Import,Extra EU,15849660.0,3411669.0
2022,Denmark,Import,Intra EU,14693104.0,3196653.0
2022,Estonia,Export,Extra EU,1067.0,131.0
2022,Estonia,Export,Intra EU,11810.0,1871.0
2022,Estonia,Import,Extra EU,363863.0,75431.0
2022,Estonia,Import,Intra EU,1398453.0,263834.0
2022,Finland,Export,Extra EU,742.0,60.0
2022,Finland,Export,Intra EU,96638.0,16024.0
2022,Finland,Import,Extra EU,27845614.0,5937114.0
2022,Finland,Import,Intra EU,12479099.0,2086375.0
2022,France,Export,Extra EU,3280148.0,674254.0
2022,France,Export,Intra EU,19628665.0,3672849.0
2022,France,Import,Extra EU,316712200.0,60377651.0
2022,France,Import,Intra EU,208193794.0,37955708.0
2022,Germany,Export,Extra EU,1416890.0,236131.0
2022,Germany,Export,Intra EU,61803778.0,14584339.0
2022,Germany,Import,Extra EU,241358498.0,55236476.0
2022,Germany,Import,Intra EU,201851934.0,39642310.0
2022,Greece,Export,Extra EU,1039114.0,139592.0
2022,Greece,Export,Intra EU,4023548.0,589761.0
2022,Greece,Import,Extra EU,16805778.0,3254499.0
2022,Greece,Import,Intra EU,29023452.0,4177104.0
2022,Hungary,Export,Extra EU,657436.0,65591.0
2022,Hungary,Export,Intra EU,357443.0,60873.0
2022,Hungary,Import,Extra EU,634460.0,164358.0
2022,Hungary,Import,Intra EU,20022859.0,3689022.0
2022,Ireland,Export,Extra EU,347871.0,55900.0
2022,Ireland,Export,Intra EU,172223.0,32810.0
2022,Ireland,Import,Extra EU,14037476.0,2840275.0
